policy,K,eta_eff,B_useful_GBps,miss_rate,mean_L,stall_cycles,done
fcfs,64,0.9954128440366973,31.853211009174313,0.9375,225.9375,0,True
fcfs,1,0.12503086673800312,4.0009877356161,1.0,5557.25,10630,True
edf,1,0.12504579313713518,4.001465380388326,1.0,3612.0,7165,True
fcfs,2,0.24995886128023695,7.998683560967582,1.0,2508.625,4557,True
edf,2,0.2499389797412741,7.998047351720771,1.0,1536.0,3072,True
fcfs,4,0.4993425378040763,15.978961209730441,0.984375,985.375,1520,True
edf,4,0.4992686494392979,15.976596782057532,0.984375,498.09375,1024,True
fcfs,16,0.9954128440366973,31.853211009174313,0.9375,225.9375,0,True
edf,16,0.9932104752667313,31.782735208535403,0.0,0.0,0,True
